Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2/7/2014,10311.95,10321.1,10180.85,10263.2,23139510,1274.6
2/10/2014,10287.35,10310.3,10187.8,10213.9,17969925,891.89
2/11/2014,10242.1,10296.8,10200.6,10245.45,15230792,803.65
2/12/2014,10307.6,10395.15,10307.6,10348.8,24104934,1369.18
2/13/2014,10360.7,10386.65,10113.8,10135.7,25803512,1343.57
2/14/2014,10169,10229.45,10064.75,10203.75,28283283,1721.8
2/17/2014,10217.15,10358,10205.8,10326.55,19999024,1071.71
2/18/2014,10324.35,10618.85,10296.25,10575.2,26093289,1465.32
2/19/2014,10548.35,10630.15,10520.3,10609.6,20190914,1072.72
2/20/2014,10515.3,10525.7,10419.1,10428.3,24221257,1196.18
2/21/2014,10429.3,10584.75,10429.3,10554.35,16427772,904.42
2/24/2014,10508.95,10711.65,10471.45,10683.5,21312164,1204.36
2/25/2014,10742.15,10768.95,10611.75,10666.75,19064654,1136.04
2/26/2014,10659.2,10758.65,10659.2,10730.4,20144486,1373.59
2/28/2014,10793.6,10793.6,10688.95,10764.7,23184235,1313.69
3/3/2014,10705.45,10836.2,10613,10651.95,24141977,1415.44
3/4/2014,10661.4,10936.75,10661.4,10929.05,36108273,1849.79
3/5/2014,10987.6,11122.55,10899.4,11098.8,46407057,2401.59
3/6/2014,11147.6,11303.2,11117.25,11278.35,37215879,2076.41
3/7/2014,11357.9,11947.5,11332.6,11884.75,70896451,4513.2
3/10/2014,11784.55,12157.9,11784.55,12108.1,60334008,4031.26
3/11/2014,12132,12285.45,11994.85,12043.15,55513776,3456.4
3/12/2014,11997.85,12142.9,11887.75,12024.1,33138239,2045.63
3/13/2014,12062.35,12308.7,12062.35,12141.45,34350461,2227.7
3/14/2014,11984.5,12090.05,11867.15,12055.85,34689267,2162.38
3/18/2014,12093.2,12268.75,12052.35,12114.85,38152081,2260.01
3/19/2014,12190.85,12256.45,12132.4,12186.55,33279656,2145.38
3/20/2014,12160.65,12160.65,11989.95,12017.25,22772243,1584.34
3/21/2014,12083.45,12123.15,12043.4,12092.35,33487353,3134.32
3/22/2014,12111.85,12111.85,12061.65,12075.8,1617161,114.54
3/24/2014,12134.65,12423,12134.65,12408.15,30968785,2191.53
3/25/2014,12403.65,12523.7,12394.3,12450,24970542,1709.99
3/26/2014,12529.45,12570.6,12469.15,12518.35,36244903,2252.97
3/27/2014,12560.9,12767.5,12513.1,12604.95,55372139,4091.96
3/28/2014,12693.25,12787.5,12633.3,12754.7,40065910,2514.98
3/31/2014,12855.5,12869.35,12660.05,12742.05,38117571,2365.44
4/1/2014,12806.15,12806.15,12509.95,12588.5,34822334,2441.1
4/2/2014,12674.35,12740.15,12542.35,12715.3,38599263,2411.7
4/3/2014,12749.85,12754.75,12518,12563.85,35361526,2290.98
4/4/2014,12523.3,12656.5,12430.85,12551.7,29591726,1992.31
4/7/2014,12562.35,12615.35,12439.55,12506.45,27570018,1989.49
4/9/2014,12593.15,12957.55,12548.45,12937.4,40087907,2747.74
4/10/2014,12937.4,13055.6,12881.2,12949.4,38376381,2705.63
4/11/2014,12822.25,12934.9,12777.95,12840.2,24950117,1765.78
4/15/2014,12830.5,12831.6,12537.7,12579.9,27141605,1661.47
4/16/2014,12557.4,12727.05,12514.75,12563.15,30570767,1747.33
4/17/2014,12564.55,12819.1,12514.8,12787.25,32613346,2056.63
4/21/2014,12845.3,13002.75,12838.85,12958.5,30119863,1951.95
4/22/2014,12989.55,13040.15,12913.9,12987.1,24792710,1634
4/23/2014,12961.35,13176.05,12957.9,13122.1,49608481,3134.13
4/25/2014,13134.5,13268.6,12968.8,13034.5,40059121,2817.93
4/28/2014,13038.95,13116,12927.75,13081.55,29680628,1975.27
4/29/2014,13107.55,13124.3,12897.35,12910.55,28067630,1717.78
4/30/2014,12946.1,13100.75,12738.6,12855.85,41073880,2411.32
5/2/2014,12920.35,12995.6,12818.85,12842,19439904,1347.7
5/5/2014,12841.4,12981.6,12773.05,12880.65,32996950,1875.15
5/6/2014,12961.5,13012.55,12917.15,12966.05,24624097,1315.47
5/7/2014,12944.9,13017,12877.75,12938.2,25758927,1991.59
5/8/2014,12982.75,13095.5,12952.5,13037.4,23548844,1717.1
5/9/2014,13023.4,13814.25,13017.9,13750.5,50618692,3634.09
5/12/2014,13801,14152.45,13801,14085.05,44359640,3218.24
5/13/2014,14269.25,14367.75,14105.65,14165.55,62513365,4300.87
5/14/2014,14124.55,14320.75,14063.6,14207.1,55148350,3619.28
5/15/2014,14186.1,14301.3,14159.1,14236.55,55346268,3369.08
5/16/2014,14675.6,15742.05,14468.1,14853,103892859,8187.39
5/19/2014,15032,15305.65,15032,15222.15,57768093,4471.61
5/20/2014,15351.65,15362.55,15087.7,15111.2,46750328,2988.83
5/21/2014,15126.6,15126.6,14857.5,14952.1,36914763,2547.13
5/22/2014,15009.9,15204.45,14938.25,15055.55,37475269,2396.99
5/23/2014,15091.7,15321.25,14972.6,15285.5,53883369,4956.42
5/26/2014,15431.95,15568.05,14969.25,15175.9,52767590,4333.78
5/27/2014,15141.5,15158.4,14934.95,15084,30637314,2242.04
5/28/2014,15075.6,15198.35,15032.45,15173.35,26975575,2296.6
5/29/2014,15169.25,15254.5,15007.5,15030.3,44813466,3879.53
5/30/2014,15093.1,15108.8,14709.3,14793.4,43255344,3338.94
6/2/2014,14786.45,15321.8,14770,15287.25,33470475,2493.04
6/3/2014,15335.85,15414.05,15148.5,15257.5,36314744,2945.73
6/4/2014,15221.3,15396.9,15171.15,15333.4,32577215,2180.57
6/5/2014,15250.6,15337.15,15152.4,15282.15,34685137,2572.96
6/6/2014,15405.75,15576.05,15320.75,15543.15,39719688,2868.05
6/9/2014,15625.4,15725.8,15522.85,15567.4,41916584,2849.94
6/10/2014,15585.4,15585.4,15337.85,15427.8,30467964,2067.35
6/11/2014,15436.05,15660.05,15367.6,15450.55,40211297,2697.48
6/12/2014,15456.25,15518.75,15293.4,15464.85,26800324,2004.99
6/13/2014,15506.75,15599.75,15083.9,15106.9,33036708,2463.14
6/16/2014,15055.2,15091.3,14858.9,15030,32728056,2179.09
6/17/2014,14982.35,15393.75,14933.25,15373.2,36260412,2535.96
6/18/2014,15369.5,15461.55,15128.45,15220.4,36076242,2643.63
6/19/2014,15282.05,15332.75,14976.15,15067.4,26241549,2065.96
6/20/2014,15064.45,15195.55,14978.5,14997.65,21875260,1767.12
6/23/2014,15014.2,15148,14940.35,15076.35,25013855,1866.97
6/24/2014,15142.35,15341.95,15142.35,15309.5,29137817,2051.34
6/25/2014,15320.95,15320.95,15221.15,15237.85,23370497,1770.43
6/26/2014,15247.1,15333.25,15020.65,15050,37291657,2560.05
6/27/2014,15092.25,15117.15,14946.85,14992.35,20185412,1549.65
6/30/2014,15059.1,15329.95,15059.1,15241.9,29758891,1994.58
7/1/2014,15288.8,15365.65,15261.15,15321.35,24831205,1804.17
7/2/2014,15464.55,15519.3,15414.85,15490.35,23653021,1828.25
7/3/2014,15512.75,15554.7,15431.5,15451.65,22303318,1728.32
7/4/2014,15458.75,15582.65,15305,15556.15,20780659,1590.5
7/7/2014,15589.5,15592.8,15349.2,15367.6,33216870,2719.59
